"school","city","state","region","conference","division"
"Southern Illinois University Edwardsville","Edwardsville","Illinois","Great Lakes","Ohio Valley Conference","NCAA D1"
"Southern Maine Community College","South Portland","Maine","New England","Yankee Small College Conference","JC"
"Southern Methodist University – SMU","Dallas","Texas","Mid South","American Athletic Conference","NCAA D1"
"Southern Nazarene University","Bethany","Oklahoma","Mid South","Great American Conference","NCAA D2"
"Southern New Hampshire University","Manchester","New Hampshire","New England","Northeast-10 Conference","NCAA D2"
"Southern Oregon University","Ashland","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Southern State Community College","Hillsboro","Ohio","Great Lakes","Ohio Collegiate Athletic Conference (USCAA)","JC"
"Southern Union State Community College","Wadley","Alabama","South East","Alabama Community College Conference","JC"
"Southern University & A&M College","Baton Rouge","Louisiana","Mid South","Southwestern Athletic Conference","NCAA D1"
"Southern University at New Orleans","New Orleans","Louisiana","Mid South","Gulf Coast Athletic Conference","NAIA"
"Southern University at Shreveport","Shreveport","Louisiana","Mid South","NJCAA Region 23","JC"
"Southern Utah University","Cedar City","Utah","South West","Big Sky Conference","NCAA D1"
"Southern Virginia University","Buena Vista","Virginia","Mid East","Capital Athletic Conference","NCAA D3"
"Southern Wesleyan University","Central","South Carolina","South East","Conference Carolinas","NCAA D2"
"Southwest Baptist University","Bolivar","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Southwest Minnesota State University","Marshall","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Southwest Mississippi Community College","Summit","Mississippi","Mid South","NJCAA Region 23","JC"
"Southwest Texas Junior College","Uvalde","Texas","Mid South","South Texas Club Sports League","JC"
"Southwestern Assemblies of God University","Waxahachie","Texas","Mid South","Sooner Athletic Conference","NAIA"
"Southwestern Christian College","Terrell","Texas","Mid South","NJCAA Region 5","JC"
"Southwestern Christian University","Bethany","Oklahoma","Mid South","Sooner Athletic Conference","NAIA"
"Southwestern College – Kansas","Winfield","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Southwestern Illinois College","Belleville","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"Southwestern Illinois College — Red Bud Campus","Red Bud","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"Southwestern Oklahoma State University","Weatherford","Oklahoma","Mid South","Great American Conference","NCAA D2"
"Southwestern Oregon Community College","Coos Bay","Oregon","West Coast","Northwest Athletic Conference","JC"
"Southwestern University","Georgetown","Texas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Spalding University","Louisville","Kentucky","Mid East","St. Louis Intercollegiate Athletic Conference","NCAA D3"
"Spartanburg Methodist College","Spartanburg","South Carolina","South East","NJCAA Region 10","JC"
"Spokane Falls Community College","Spokane","Washington","West Coast","Northwest Athletic Conference","JC"
"Spring Arbor University","Spring Arbor","Michigan","Great Lakes","Crossroads League","NAIA"
"Spring Hill College","Mobile","Alabama","South East","Southern States Athletic Conference","NCAA D2"
"Springfield College","Springfield","Massachusetts","New England","New England Women's and Men's Athletic Conference","NCAA D3"
"Springfield Technical Community College","Springfield","Massachusetts","New England","Massachusetts Community College Athletic Conference","JC"
"St. Ambrose University","Davenport","Iowa","Mid West","Chicagoland Collegiate Athletic Conference","NAIA"
"St. Andrews University","Laurinburg","North Carolina","Mid East","Appalachian Athletic Conference","NAIA"
"St. Bonaventure University","Saint Bonaventure","New York","North East","Atlantic 10 Conference","NCAA D1"
"St. Catherine University","Saint Paul","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"St. Cloud State University","Saint Cloud","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"St. Edward's University","Austin","Texas","Mid South","Heartland Conference","NCAA D2"
"St. Francis College","Brooklyn Heights","New York","North East","Northeast Conference","NCAA D1"
"St. John Fisher College","Rochester","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"St. John's University – New York","Queens","New York","North East","Big East Conference","NCAA D1"
"St. Joseph's College – Brooklyn","Brooklyn","New York","North East","Skyline Conference (Division III)","NCAA D3"
"St. Joseph's College – Long Island","Patchogue","New York","North East","Skyline Conference, Eastern College Athletic Conference","NCAA D3"
"St. Lawrence University","Canton","New York","North East","Liberty League","NCAA D3"
"St. Louis Community College – Forest Park","Saint Louis","Missouri","Mid West","Midwest Community College Athletic Conference","JC"
"St. Louis Community College – Meramec","Kirkwood","Missouri","Mid West","Midwest Community College Athletic Conference","JC"
"St. Mary's College of Maryland","St. Mary's City","Maryland","North East","Capital Athletic Conference","NCAA D3"
"St. Mary's University – Texas","San Antonio","Texas","Mid South","Heartland Conference","NCAA D2"
"St. Norbert College","De Pere","Wisconsin","Great Lakes","Midwest Conference","NCAA D3"
"St. Olaf College","Northfield","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"St. Petersburg College","Clearwater","Florida","South East","Florida College System Activities Association","JC"
"St. Thomas Aquinas College","Sparkill","New York","North East","East Coast Conference","NCAA D2"
"St. Thomas University – Florida","Miami","Florida","South East","Sun Conference","NAIA"
"Stanford University","Stanford","California","West Coast","Pacific-12 Conference","NCAA D1"
"State College of Florida – Manatee-Sarasota","Bradenton","Florida","South East","Florida College System Activities Association","JC"
"State Fair Community College","Sedalia","Missouri","Mid West","NJCAA Region 25","JC"
"Stephen F Austin State University","Nacogdoches","Texas","Mid South","Western Athletic Conference ","NCAA D1"
"Sterling College – Kansas","Sterling","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Stetson University","DeLand","Florida","South East","ASUN Conference","NCAA D1"
"Stevens Institute of Technology","Hoboken","New Jersey","North East","Empire 8 Athletic Conference","NCAA D3"
"Stevenson University","Stevenson","Maryland","North East","Middle Atlantic Conferences","NCAA D3"
"Stillman College","Tuscaloosa","Alabama","South East","Southern States Athletic Conference","NAIA"
"Stockton University","Galloway","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"Stonehill College","Easton","Massachusetts","New England","Northeast-10 Conference","NCAA D2"
"Suffolk County Community College","Selden","New York","North East","NJCAA Region 10","JC"
"Suffolk University","Boston","Massachusetts","New England","Great Northeast Athletic Conference","NCAA D3"
"Sul Ross State University","Alpine","Texas","Mid South","American Southwest Conference","NCAA D3"
"SUNY Adirondack Community College","Queensbury","New York","North East","Mountain-Valley Conference","JC"
"SUNY Binghamton University","Vestal","New York","North East","America East Conference","NCAA D1"
"SUNY Broome Community College","Binghamton","New York","North East","Mid-State Athletic Conference","JC"
"SUNY Buffalo State College","Buffalo","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"SUNY Canton","Canton","New York","North East","Other","NCAA D3"
"SUNY Cayuga Community College","Auburn","New York","North East","Mid-State Athletic Conference","JC"
"SUNY Clinton Community College","Plattsburgh","New York","North East","NJCAA Region 3","JC"
"SUNY College at Brockport","Brockport","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"SUNY College at Old Westbury","Old Westbury","New York","North East","Skyline Conference","NCAA D3"
"SUNY College at Oneonta","Oneonta","New York","North East","State University of New York Athletic Conference","NCAA D3"
"SUNY College of Agriculture & Technology at Cobleskill","Cobleskill","New York","North East","North Eastern Athletic Conference","NCAA D3"
"SUNY Cortland","Cortland","New York","North East","State University of New York Athletic Conference","NCAA D3"
"SUNY Dutchess Community College","Poughkeepsie","New York","North East","Mid-Hudson Athletic Conference","JC"
"SUNY Erie Community College","Buffalo","New York","North East","NJCAA Region 3","JC"
"SUNY Farmingdale State College","Farmingdale","New York","North East","Skyline Conference","NCAA D3"
"SUNY Fredonia","Fredonia","New York","North East","State University of New York Athletic Conference","NCAA D3"
"SUNY Fulton-Montgomery Community College","Johnstown","New York","North East","NJCAA Region 3","JC"
"SUNY Genesee Community College","Batavia","New York","North East","Western New York Conference","JC"
"SUNY Geneseo","Geneseo","New York","North East","State University of New York Athletic Conference","NCAA D3"
"SUNY Herkimer County Community College","Herkimer","New York","North East","Mountain Valley Conference","JC"
"SUNY Hudson Valley Community College","Troy","New York","North East","NJCAA Region 3","JC"
"SUNY Jamestown Community College","Jamestown","New York","North East","Western New York Athletic Conference","JC"
"SUNY Jefferson Community College","Watertown","New York","North East","NJCAA Region 3","JC"
"SUNY Maritime College","Throggs Neck","New York","North East","Eastern Collegiate Football Conference","NCAA D3"
"SUNY Mohawk Valley Community College","Utica","New York","North East","NJCAA Region 3","JC"
"SUNY Monroe Community College","Rochester","New York","North East","NJCAA Region 3","JC"
"SUNY Morrisville","Morrisville","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"SUNY New Paltz","New Paltz","New York","North East","State University of New York Athletic Conference","NCAA D3"
"SUNY Niagara County Community College","Sanborn","New York","North East","Western New York Conference","JC"
"SUNY North Country Community College","Saranac Lake","New York","North East","NJCAA Region 3","JC"
"SUNY Orange County Community College","Middletown","New York","North East","Intercollegiate Community Colleges Conference","JC"
"SUNY Oswego","Oswego","New York","North East","State University of New York Athletic Conference","NCAA D3"
"SUNY Plattsburgh","Plattsburgh","New York","North East","State University of New York Athletic Conference","NCAA D3"
