"school","city","state","region","conference","division"
"Abilene Christian University","Abilene","Texas","Mid South","Western Athletic Conference","NCAA D1"
"Academy of Art University","San Francisco","California","West Coast","Pacific West Conference","NCAA D2"
"Adams State University","Alamosa","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Adelphi University","Garden City","New York","North East","Northeast-10 Conference","NCAA D2"
"Adrian College","Adrian","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Alabama A&M University","Normal","Alabama","South East","Southwestern Athletic Conference","NCAA D1"
"Alabama State University","Montgomery","Alabama","South East","Southwestern Athletic Conference","NCAA D1"
"Albany State University","Albany","Georgia","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Albertus Magnus College","New Haven","Connecticut","New England","Great Northeastern Athletic Conference","NCAA D3"
"Albion College","Albion","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Albright College","Reading","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Alcorn State University","Alcorn State","Mississippi","Mid South","Southwestern Athletic Conference","NCAA D1"
"Alderson Broaddus University","Philippi","West Virginia","Mid East","Great Midwest Athletic Conference","NCAA D2"
"Alfred University","Alfred","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Alice Lloyd College","Pippa Passes","Kentucky","Mid East","River States Conference","NAIA"
"Alice Lloyd College","Pippa Passes","Kentucky","Mid East","River States Conference","NAIA"
"Allan Hancock College","Santa Maria","California","West Coast","Western State Conference","JC"
"Allegany College of Maryland","Cumberland","Maryland","North East","Maryland Junior College Athletic Association","JC"
"Allegheny College","Meadville","Pennsylvania","North East","North Coast Athletic Conference","NCAA D3"
"Allen Community College","Iola","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Allen University","Columbia","South Carolina","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Allen University","Columbia","South Carolina","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Alma College","Alma","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Alpena Community College","Alpena","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"American International College","Springfield","Massachusetts","New England","Northeast-10 Conference","NCAA D2"
"American River College","Sacramento","California","West Coast","Big 8 Conference","JC"
"American University","Washington","District Of Columbia","North East","Patriot League","NCAA D1"
"Amherst College","Amherst","Massachusetts","New England","New England Small College Athletic Conference","NCAA D3"
"Ancilla College of Marian University","Donaldson","Indiana","Great Lakes","MCCAA","JC"
"Anderson University – Indiana","Anderson","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Anderson University – South Carolina","Anderson","South Carolina","South East","South Atlantic Conference","NCAA D2"
"Andrew College","Cuthbert","Georgia","South East","Georgia Collegiate Athletic Association","JC"
"Angelina College","Lufkin","Texas","Mid South","NJCAA Region 14","JC"
"Angelo State University","San Angelo","Texas","Mid South","Lone Star Conference","NCAA D2"
"Anna Maria College","Paxton","Massachusetts","New England","Great Northeast Athletic Conference","NCAA D3"
"Anne Arundel Community College","Arnold","Maryland","North East","Maryland Junior College Athletic Association","JC"
"Anoka-Ramsey Community College","Coon Rapids","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Appalachian State University","Boone","North Carolina","Mid East","Sun Belt Conference","NCAA D1"
"Aquinas College – Michigan","Grand Rapids","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Arcadia University","Glenside","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Arizona Christian University","Phoenix","Arizona","South West","Golden State Athletic Conference","NAIA"
"Arizona State University","Tempe","Arizona","South West","Pacific-12 Conference","NCAA D1"
"Arizona Western College","Yuma","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Arkansas Baptist College","Little Rock","Arkansas","Mid South","Sooner Athletic Conference","NAIA"
"Arkansas State University","Jonesboro","Arkansas","Mid South","Sun Belt Conference","NCAA D1"
"Arkansas Tech University","Russellville","Arkansas","Mid South","Great American Conference","NCAA D2"
"ASA College – Miami","Miami","Florida","South East","NJCAA Region 15","JC"
"Asbury University","Wilmore","Kentucky","Mid East","National Christian College Athletic Association","NCAA D3"
"Ashland University","Ashland","Ohio","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Assumption University","Worcester","Massachusetts","New England","Northeast-10 Conference","NCAA D2"
"Atlantic Cape Community College","Mays Landing","New Jersey","North East","Garden State Athletic Conference","JC"
"Auburn University","Auburn","Alabama","South East","Southeastern Conference","NCAA D1"
"Auburn University – Montgomery","Montgomery","Alabama","South East","Gulf South Conference","NCAA D2"
"Augsburg University","Minneapolis","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Augusta University","Augusta","Georgia","South East","Peach Bell Conference","NCAA D2"
"Augustana College – Illinois","Rock Island","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Augustana University – South Dakota","Sioux Falls","South Dakota","North West","Northern Sun Intercollegiate Conference","NCAA D2"
"Aurora University","Aurora","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Austin College","Sherman","Texas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Austin Peay State University","Clarksville","Tennessee","Mid East","Ohio Valley Conference","NCAA D1"
"Ave Maria University","Ave Maria","Florida","South East","Sun Conference","NAIA"
"Averett University","Danville","Virginia","Mid East","USA South Athletic Conference","NCAA D3"
"Avila University","Kansas City","Missouri","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Azusa Pacific University","Azusa","California","West Coast","Great Northeast Athletic Conference","NCAA D2"
"Babson College","Wellesley","Massachusetts","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"Bacone College","Muskogee","Oklahoma","Mid South","Continental Athletic Conference","NAIA"
"Baker University","Baldwin City","Kansas","Mid West","Heart of America Athletic Conference","NAIA"
"Baldwin Wallace University","Berea","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Ball State University","Muncie","Indiana","Great Lakes","Mid-American Conference","NCAA D1"
"Baltimore City Community College","Baltimore","Maryland","North East","Maryland Junior College Athletic Association","JC"
"Bard College","Annandale-On-Hudson","New York","North East","Liberty League","NCAA D3"
"Barry University","Miami","Florida","South East","Sunshine State Conference","NCAA D2"
"Barton College","Wilson","North Carolina","Mid East","Conference Carolinas","NCAA D2"
"Barton Community College","Great Bend","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Bates College","Lewiston","Maine","New England","New England Small College Athletic Conference","NCAA D3"
"Baylor University","Waco","Texas","Mid South","Big 12 Conference","NCAA D1"
"Becker College","Worcester","Massachusetts","New England","Commonwealth Coast Conference","NCAA D3"
"Bellarmine University","Louisville","Kentucky","Mid East","ASUN Conference","NCAA D1"
"Bellevue College","Bellevue","Washington","West Coast","Northwest Athletic Conference","JC"
"Bellevue University","Bellevue","Nebraska","Mid West","North Star Athletic Association","NAIA"
"Belmont Abbey College","Belmont","North Carolina","Mid East","Conference Carolinas","NCAA D2"
"Belmont University","Nashville","Tennessee","Mid East","Ohio Valley Conference","NCAA D1"
"Beloit College","Beloit","Wisconsin","Great Lakes","Midwest Conference","NCAA D3"
"Bemidji State University","Bemidji","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Benedict College","Columbia","South Carolina","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Benedictine College","Atchison","Kansas","Mid West","Heart of America Athletic Conference","NAIA"
"Benedictine University","Lisle","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Benedictine University – Mesa","Mesa","Arizona","South West","California Pacific Conference","NAIA"
"Bentley University","Waltham","Massachusetts","New England","Northeast-10 Conference","NCAA D2"
"Berea College","Berea","Kentucky","Mid East","USA South Athletic Conference","NCAA D3"
"Bergen Community College","Paramus","New Jersey","North East","Garden State Athletic Conference","JC"
"Berkeley College – New York","New York","New York","North East","USCAA","NCAA D3"
"Berry College","Mount Berry","Georgia","South East","Southern Collegiate Athletic Conference","NCAA D3"
"Bethany College – Kansas","Lindsborg","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Bethany College – West Virginia","Bethany","West Virginia","Mid East","Presidents' Athletic Conference","NCAA D3"
"Bethany Lutheran College","Mankato","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"Bethel College – Kansas","North Newton","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Bethel University – Indiana","Mishawaka","Indiana","Great Lakes","Crossroads League","NAIA"
"Bethel University – Minnesota","Saint Paul","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Bethel University – Tennessee","McKenzie","Tennessee","Mid East","Mid-South Conference","NAIA"
"Bethune-Cookman University","Daytona Beach","Florida","South East","Southwestern Athletic Conference ","NCAA D1"
"Bevill State Community College","Jasper","Alabama","South East","Alabama Junior and Community College Conference","JC"
"Big Bend Community College","Moses Lake","Washington","West Coast","Northwest Athletic Conference","JC"
"Biola University","La Mirada","California","West Coast","Pacific West Conference","NCAA D2"
"Birmingham-Southern College","Birmingham","Alabama","South East","Southern Collegiate Athletic Conference","NCAA D3"
"Bishop State Community College","Mobile","Alabama","South East","Alabama Junior and Community College Conference","JC"
"Bismarck State College","Bismarck","North Dakota","North West","Mon-Dak Athletic Conference","JC"
"Black Hawk College – East Campus","Moline","Illinois","Great Lakes","Arrowhead Conference","JC"
"Black Hawk College – Quad Cities","Moline","Illinois","Great Lakes","Arrowhead Conference","JC"
"Black Hills State University","Spearfish","South Dakota","North West","Rocky Mountain Athletic Conference","NCAA D2"
"Blackburn College","Carlinville","Illinois","Great Lakes","St. Louis Intercollegiate Athletic Conference","NCAA D3"
"Bloomfield College","Bloomfield","New Jersey","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Bloomsburg University of Pennsylvania","Bloomsburg","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Blue Mountain College","Blue Mountain","Mississippi","Mid South","Southern States Athletic Conference","NAIA"
"Blue Mountain Community College","Pendleton","Oregon","West Coast","Northwest Athletic Conference","JC"
"Bluefield State College","Bluefield","West Virginia","Mid East","Independent Southeast Region","NCAA D2"
"Bluefield University","Bluefield","Virginia","Mid East","Appalachian Athletic Conference","NAIA"
"Bluffton University","Bluffton","Ohio","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Boise State University","Boise","Idaho","North West","Mountain West Conference","NCAA D1"
"Bossier Parish Community College","Bossier City","Louisiana","Mid South","NJCAA Region 24","JC"
"Boston College","Chestnut Hill","Massachusetts","New England","Atlantic Coast Conference","NCAA D1"
"Boston University","Boston","Massachusetts","New England","Patriot League","NCAA D1"
"Bowdoin College","Brunswick","Maine","New England","New England Small College Athletic Conference","NCAA D3"
"Bowie State University","Bowie","Maryland","North East","Central Intercollegiate Athletic Association","NCAA D2"
"Bowling Green State University","Bowling Green","Ohio","Great Lakes","Mid-American Conference","NCAA D1"
"Bradley University","Peoria","Illinois","Great Lakes","Missouri Valley Conference","NCAA D1"
"Brandeis University","Waltham","Massachusetts","New England","University Athletic Association","NCAA D3"
"Brescia University","Owensboro","Kentucky","Mid East","River States Conference","NAIA"
"Brevard College","Brevard","North Carolina","Mid East","South Atlantic Conference","NCAA D3"
"Brewton-Parker College","Mount Vernon","Georgia","South East","Southern States Athletic Conference","NAIA"
"Briar Cliff University","Sioux City","Iowa","Mid West","Great Plains Athletic Conference","NAIA"
"Bridgewater College","Bridgewater","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Bridgewater State University","Bridgewater","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
"Brigham Young University","Provo","Utah","South West","West Coast Conference","NCAA D1"
"Brookdale Community College","Lincroft","New Jersey","North East","Garden State Athletic Conference ","JC"
"Brookhaven College","Farmers Branch","Texas","Mid South","NJCAA Region 5","JC"
"Brown University","Providence","Rhode Island","New England","Ivy League","NCAA D1"
"Brunswick Community College","Bolivia","North Carolina","Mid East","Carolinas Junior College Conference","JC"
"Bryan College – Tennessee","Dayton","Tennessee","Mid East","Appalachian Athletic Conference","NAIA"
"Bryant & Stratton College – Milwaukee","Milwaukee","Wisconsin","Great Lakes","Independent","JC"
"Bryant & Stratton College – Virginia","Virginia Beach","Virginia","Mid East","NJCAA Region 10","JC"
"Bryant University","Smithfield","Rhode Island","New England","Northeast Conference","NCAA D1"
"Bucknell University","Lewisburg","Pennsylvania","North East","Patriot League","NCAA D1"
"Bucks County Community College","Newtown","Pennsylvania","North East","Eastern Pennsylvania Athletic Conference","JC"
"Buena Vista University","Storm Lake","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Bunker Hill Community College","Boston","Massachusetts","New England","MCCAC","JC"
"Bushnell University (formerly Northwest Christian University)","Eugene","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Butler Community College","El Dorado","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Butler County Community College","Butler","Pennsylvania","North East","Western Pennsylvania Collegiate Conference","JC"
"Butler University","Indianapolis","Indiana","Great Lakes","Big East Conference","NCAA D1"
"Butte College","Oroville","California","West Coast","California Community College Athletic Association","JC"
"Cabrini University","Radnor","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Cairn University","Langhorne","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Caldwell University","Caldwell","New Jersey","North East","Central Atlantic Collegiate Conference","NCAA D2"
"California Baptist University","Riverside","California","West Coast","Western Athletic Conference","NCAA D1"
"California Institute of Technology","Pasadena","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"California Lutheran University","Thousand Oaks","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"California Polytechnic State University – San Luis Obispo","San Luis Obispo","California","West Coast","Big West Conference","NCAA D1"
"California State Polytechnic University – Pomona","Pomona","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – Bakersfield","Bakersfield","California","West Coast","Big West Conference","NCAA D1"
"California State University – Chico","Chico","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – Dominguez Hills","Carson","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – East Bay","Hayward","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – Fresno","Fresno","California","West Coast","Mountain West Conference","NCAA D1"
"California State University – Fullerton","Fullerton","California","West Coast","Big West Conference","NCAA D1"
"California State University – Long Beach","Long Beach","California","West Coast","Big West Conference","NCAA D1"
"California State University – Los Angeles","Los Angeles","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – Monterey Bay","Seaside","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – Northridge","Northridge","California","West Coast","Big West Conference","NCAA D1"
"California State University – Sacramento","Sacramento","California","West Coast","Big Sky Conference","NCAA D1"
"California State University – San Bernardino","San Bernardino","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – San Marcos","San Marcos","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University – Stanislaus","Turlock","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"California State University Maritime Academy","Vallejo","California","West Coast","California Pacific Conference","NAIA"
"California University of Pennsylvania","California","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Calumet College of St. Joseph","Whiting","Indiana","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Calvin University","Grand Rapids","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Camden County College","Blackwood","New Jersey","North East","Garden State Athletic Conference ","JC"
"Cameron University","Lawton","Oklahoma","Mid South","Lone Star Conference","NCAA D2"
"Campbell University","Buies Creek","North Carolina","Mid East","Big South Conference ","NCAA D1"
"Campbellsville University","Campbellsville","Kentucky","Mid East","Mid-South Conference","NAIA"
"Canisius College","Buffalo","New York","North East","Metro Atlantic Athletic Conference","NCAA D1"
"Cape Fear Community College","Wilmington","North Carolina","Mid East","Carolinas Junior College Conference","JC"
"Capital University","Columbus","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Cardinal Stritch University","Milwaukee","Wisconsin","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Carl Sandburg College","Galesburg","Illinois","Great Lakes","Arrowhead Conference","JC"
"Carleton College","Northfield","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Carlow University","Pittsburgh","Pennsylvania","North East","River States Conference","NAIA"
"Carnegie Mellon University","Pittsburgh","Pennsylvania","North East","University Athletic Association","NCAA D3"
"Carroll College","Helena","Montana","North West","Frontier Conference","NAIA"
"Carroll University","Waukesha","Wisconsin","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Carson-Newman University","Jefferson City","Tennessee","Mid East","South Atlantic Conference","NCAA D2"
"Carthage College","Kenosha","Wisconsin","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Case Western Reserve University","Cleveland","Ohio","Great Lakes","Presidents' Athletic Conference","NCAA D3"
"Casper College","Casper","Wyoming","North West","NJCAA Region 9","JC"
"Castleton University","Castleton","Vermont","New England","Eastern Collegiate Football Conference","NCAA D3"
"Catawba College","Salisbury","North Carolina","Mid East","South Atlantic Conference","NCAA D2"
"Catawba Valley Community College","Hickory","North Carolina","Mid East","NJCAA Region 10","JC"
"Catholic University of America","Washington","District Of Columbia","North East","New England Women's & Men's Athletic Conference","NCAA D3"
"Cazenovia College","Cazenovia","New York","North East","North Eastern Athletic Conference","NCAA D3"
"Cecil College","North East","Maryland","North East","Maryland Junior College Athletic Conference","JC"
"Cedarville University","Cedarville","Ohio","Great Lakes","Great Midwest Athletic Conference","NCAA D2"
"Centenary College of Louisiana","Shreveport","Louisiana","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Centenary University – New Jersey","Hackettstown","New Jersey","North East","Colonial States Athletic Conference","NCAA D3"
"Central Arizona College","Coolidge","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Central Christian College of Kansas","McPherson","Kansas","Mid West","Sooner Athletic Conference","NAIA"
"Central College","Pella","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Central Community College","Grand Island","Nebraska","Mid West","NJCAA","JC"
"Central Connecticut State University","New Britain","Connecticut","New England","Northeast Conference","NCAA D1"
"Central Maine Community College","Auburn","Maine","New England","Yankee Small College Conference","JC"
"Central Methodist University","Fayette","Missouri","Mid West","Heart of America Athletic Conference","NAIA"
"Central Michigan University","Mount Pleasant","Michigan","Great Lakes","Mid-American Conference","NCAA D1"
"Central State University","Wilberforce","Ohio","Great Lakes","Southern Intercollegiate Athletic Conference","NCAA D2"
"Central Washington University","Ellensburg","Washington","West Coast","Great Northwest Athletic Conference","NCAA D2"
"Central Wyoming College","Riverton","Wyoming","North West","NJCAA Region 9","JC"
"Centralia College","Centralia","Washington","West Coast","Northwest Athletic Conference","JC"
"Centre College","Danville","Kentucky","Mid East","Southern Collegiate Athletic Conference","NCAA D3"
"Chadron State College","Chadron","Nebraska","Mid West","Rocky Mountain Athletic Conference","NCAA D2"
"Chaminade University of Honolulu","Honolulu","Hawaii","West Coast","Pacific West Conference","NCAA D2"
"Chapman University","Orange","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"Charleston Southern University","Charleston","South Carolina","South East","Big South Conference","NCAA D1"
"Chatham University","Pittsburgh","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"Chattahoochee Valley Community College","Phenix City","Alabama","South East","Alabama Community College Conference","JC"
"Chattanooga State Community College","Chattanooga","Tennessee","Mid East","Tennessee Community College Athletic Association","JC"
"Chemeketa Community College","Salem","Oregon","West Coast","Northwest Athletic Conference","JC"
"Chesapeake College","Wye Mills","Maryland","North East","Maryland JUCO Athletic Conference","JC"
"Chestnut Hill College","Philadelphia","Pennsylvania","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Cheyney University of Pennsylvania","Cheyney","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Chicago State University","Chicago","Illinois","Great Lakes","Western Athletic Conference","NCAA D1"
"Chipola College","Marianna","Florida","South East","Florida College System Activities Association","JC"
"Chowan University","Murfreesboro","North Carolina","Mid East","Conference Carolinas","NCAA D2"
"Christian Brothers University","Memphis","Tennessee","Mid East","Gulf South Conference","NCAA D2"
"Christopher Newport University","Newport News","Virginia","Mid East","Capital Athletic Conference","NCAA D3"
"Citadel Military College of South Carolina","Charleston","South Carolina","South East","Southern Conference","NCAA D1"
"Citrus College","Glendora","California","West Coast","Western States Conference","JC"
"City Colleges of Chicago – Harry S Truman College","Chicago","Illinois","Great Lakes","NJCAA Region 4","JC"
"City Colleges of Chicago – Kennedy-King College","Chicago","Illinois","Great Lakes","NJCAA Region 4","JC"
"City Colleges of Chicago – Malcolm X College","Chicago","Illinois","Great Lakes","NJCAA Region 4","JC"
"City Colleges of Chicago – Olive-Harvey College","Chicago","Illinois","Great Lakes","NJCAA Region 4","JC"
"Clackamas Community College","Oregon City","Oregon","West Coast","Northwest Athletic Conference","JC"
"Claflin University","Orangeburg","South Carolina","South East","Central Intercollegiate Athletic Association","NCAA D2"
"Claremont-Mudd-Scripps Colleges","Claremont","California","West Coast","Southern California Intercollegiate Athletic Conference (Division III), Western Water Polo Association (Division III)","NCAA D3"
"Clarendon College","Clarendon","Texas","Mid South","Western Junior College Athletic Conference","JC"
"Clarion University of Pennsylvania","Clarion","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Clark Atlanta University","Atlanta","Georgia","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Clark State Community College","Springfield","Ohio","Great Lakes","Ohio Community College Athletic Conference","JC"
"Clark University","Worcester","Massachusetts","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"Clarke University","Dubuque","Iowa","Mid West","Heart of America Athletic Conference","NAIA"
"Clarks Summit University","Clarks Summit","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Clarkson University","Potsdam","New York","North East","Liberty League","NCAA D3"
"Clayton State University","Morrow","Georgia","South East","Peach Belt Conference","NCAA D2"
"Clemson University","Clemson","South Carolina","South East","Atlantic Coast Conference","NCAA D1"
"Cleveland State Community College","Cleveland","Tennessee","Mid East","Tennessee Community College Athletic Association","JC"
"Cleveland State University","Cleveland","Ohio","Great Lakes","Horizon League","NCAA D1"
"Cloud County Community College","Concordia","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Coahoma Community College","Clarksdale","Mississippi","Mid South","NJCAA","JC"
"Coastal Alabama Community College – Brewton","Brewton","Alabama","South East","Alabama Junior and Community College Conference","JC"
"Coastal Carolina University","Conway","South Carolina","South East","Sun Belt Conference","NCAA D1"
"Cochise College","Douglas","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Coe College","Cedar Rapids","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Coffeyville Community College","Coffeyville","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Coker University","Hartsville","South Carolina","South East","South Atlantic Conference","NCAA D2"
"Colby College","Waterville","Maine","New England","New England Small College Athletic Conference","NCAA D3"
"Colby-Sawyer College","New London","New Hampshire","New England","North Atlantic Conference","NCAA D3"
"Colgate University","Hamilton","New York","North East","Patriot League","NCAA D1"
"College of Charleston","Charleston","South Carolina","South East","Colonial Athletic Association","NCAA D1"
"College of Coastal Georgia","Brunswick","Georgia","South East","Sun Conference","NAIA"
"College of DuPage","Glen Ellyn","Illinois","Great Lakes","North Central Community College Conference","JC"
"College of Lake County","Grayslake","Illinois","Great Lakes","Illinois Skyway Collegiate Conference","JC"
"College of Marin","Kentfield","California","West Coast","Bay Valley Conference","JC"
"College of Mount Saint Vincent","Bronx","New York","North East","Skyline Conference","NCAA D3"
"College of Southern Idaho","Twin Falls","Idaho","North West","Scenic West Athletic Conference","JC"
"College of Southern Maryland","La Plata","Maryland","North East","Maryland Junior College Athletic Conference","JC"
"College of the Canyons","Santa Clarita","California","West Coast","Western States Conference","JC"
"College of the Holy Cross","Worcester","Massachusetts","New England","Patriot League","NCAA D1"
"College of the Ozarks","Point Lookout","Missouri","Mid West","NCCAA","NCCAA"
"College of the Redwoods","Eureka","California","West Coast","Golden Valley Conference","JC"
"College of Wooster","Wooster","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Collin College","McKinney","Texas","Mid South","North Texas Junior College Athletic Conference ","JC"
"Colorado Christian University","Lakewood","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Colorado College","Colorado Springs","Colorado","South West","Southern Collegiate Athletic Conference","NCAA D3"
"Colorado Mesa University","Grand Junction","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Colorado Northwestern Community College","Rangely","Colorado","South West","Scenic West Athletic Conference","JC"
"Colorado School of Mines","Golden","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Colorado State University","Fort Collins","Colorado","South West","Mountain West Conference","NCAA D1"
"Colorado State University – Pueblo","Pueblo","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Columbia Basin College","Pasco","Washington","West Coast","Northwest Athletic Conference","JC"
"Columbia College – California","Sonora","California","West Coast","Central Valley Conference (CVC)","JC"
"Columbia College – Missouri","Columbia","Missouri","Mid West","American Midwest Conference","NAIA"
"Columbia International University","Columbia","South Carolina","South East","NCCAA / Appalachian Athletic Conference (NAIA)","NAIA"
"Columbia State Community College","Columbia","Tennessee","Mid East","Tennessee Community College Athletic Association","JC"
"Columbia University","New York","New York","North East","Ivy League","NCAA D1"
"Columbia-Greene Community College","Hudson","New York","North East","Mountain Valley Conference","JC"
"Columbus State Community College","Columbus","Ohio","Great Lakes","Ohio Community College Athletic Conference","JC"
"Columbus State University","Columbus","Georgia","South East","Peach Belt Conference","NCAA D2"
"Community College of Allegheny County","Pittsburgh","Pennsylvania","North East","Western Pennsylvania Collegiate Conference","JC"
"Community College of Beaver County","Monaca","Pennsylvania","North East","Western Pennsylvania Collegiate Conference","JC"
"Community College of Philadelphia","Philadelphia","Pennsylvania","North East","Eastern Pennsylvania Collegiate Conference","JC"
"Community College of Rhode Island","Warwick","Rhode Island","New England","NJCAA Region 21","JC"
"Compton College","Compton","California","West Coast","South Coast Athletic Conference","JC"
"Concord University","Athens","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"Concordia College – Minnesota","Moorhead","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Concordia University – Ann Arbor","Ann Arbor","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Concordia University – Chicago","River Forest","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Concordia University – Irvine","Irvine","California","West Coast","Pacific West Conference","NCAA D2"
"Concordia University – Nebraska","Seward","Nebraska","Mid West","Great Plains Athletic Conference","NAIA"
"Concordia University – Texas","Austin","Texas","Mid South","American Southwest Conference","NCAA D3"
"Concordia University Wisconsin","Mequon","Wisconsin","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Concordia University, St. Paul – Minnesota","Saint Paul","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Connecticut College","New London","Connecticut","New England","New England Small College Athletic Conference","NCAA D3"
"Connors State College","Warner","Oklahoma","Mid South","Oklahoma Collegiate Athletic Conference","JC"
"Converse University","Spartanburg","South Carolina","South East","Conference Carolinas","NCAA D2"
"Copiah-Lincoln Community College","Wesson","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Coppin State University","Baltimore","Maryland","North East","Mid-Eastern Athletic","NCAA D1"
"Corban University","Salem","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Cornell College","Mount Vernon","Iowa","Mid West","Midwest Conference","NCAA D3"
